contestant_name,age,num_season,finish,gender,poc
Evvie Jagoda,28,41,9,N,0
Shan Smith,34,41,8,F,1
Liana Wallace,20,41,7,F,1
Danny McCray,33,41,6,M,1
Ricard Foyé,31,41,5,M,1
Heather Aldret,52,41,4,F,0
Xander Hastings,21,41,3,M,0
Deshawn Radden,26,41,2,M,1
Erika Casupanan,32,41,1,F,1
Jackson Fox,48,42,18,M,0
Zach Wurtenberger,22,42,17,M,0
Marya Sherron,47,42,16,F,1
Jenny Kim,43,42,15,F,1
Swati Goel,19,42,14,F,1
Daniel Strunk,30,42,13,M,0
Lydia Meredith,22,42,12,F,0
Chanelle Howell,29,42,11,F,1
Rocksroy Bailey,44,42,10,M,1
Tori Meehan,25,42,9,F,0
Hai Giang,29,42,8,M,1
Drea Wheeler,35,42,7,F,1
Omar Zaheer,31,42,6,M,1
Lindsay Dolashewich,31,42,5,F,0
Jonathan Young,29,42,4,M,0
Romeo Escobar,37,42,3,M,1
Mike Turner,58,42,2,M,1
Maryanne Oketch,24,42,1,F,1
Morriah Young,28,43,18,F,1
Justine Brennan,29,43,17,F,1
Nneka Ejere,43,43,16,F,1
Lindsay Carmine,42,43,15,F,0
Geo Bustamante,35,43,14,M,1
Elie Scott,31,43,13,F,1
Dwight Moore,22,43,12,M,1
Jeanine Zheng,24,43,11,F,1
James Jones,37,43,10,M,1
Ryan Medrano,24,43,9,M,1
Noelle Lambert,25,43,8,F,0
Sami Layadi,19,43,7,M,1
Cody Assenmacher,35,43,6,M,0
Karla Cruz Godoy,28,43,5,F,1
Jesse Lopez,30,43,4,M,1
Owen Knight,29,43,3,M,1
Cassidy Clark,26,43,2,F,0
Mike Gabler,52,43,1,M,0
